"キーCD","受注品番","サプライヤーコード","メーカー品番","メーカー名","商品の説明","メーカー品名","ブランド","シリーズ","規格コード","販売開始日","日本語表記"
"6300021216","6300021216","S115841770","HAC2031","HAC","●お湯の交換が不要な蓄熱充電式湯たんぽです。●約15分ほどコンセントに接続するだけで、湯たんぽをポカポカに温めます。●何度でも繰り返し使えて経済的です。●肌触りの良い専用ケースが付属で、就寝時や普段使いに便利なアイテムです。●オシャレで可愛い湯たんぽで、毎日ポカポカ快適です。","蓄熱充電式湯たんぽ　ヌックホット",,,"4580278059147",,"MRO"
"6300021217","6300021217","S115841770","HAC2991","HAC","●スマホでの動画視聴やウェブ会議に便利な卓上スマホスタンドです。●スタンドの伸縮をしたり、アームがフレキシブルに動くので、スマホの角度を様々な角度に調整できます。●6.5インチまでのスマホに対応しているので、デスクワークや動画視聴、SNS等の動画撮影にピッタリです。","卓上スマホスタンド",,,"4573110526853",,"MRO"
"6300021218","6300021218","S115841770","6300021218","ヒロ・コーポレーション","●接触式温度測定機能、血中酸素測定、血圧測定、心拍測定、睡眠モニター、カロリー計算などを1台で測定できるスマートウォッチになります。●健康管理に、iphone ios （ ヘルスケア）Android（Google Fit）アプリ連携可能です。","Ｓｍａｒｔ　Ｗａｔｃｈ　Ａｃｅ　Ｆｉｔ　",,,"4562350985186",,"MRO"
"6300021219","6300021219","S115841770","6300021219","トプラン","●すっきり折りたためる、ご家庭で簡単に「あったか足湯」が楽しめるヒーター付のバブルフットバスです。
●加湿機能で冷えやすい足先もポカポカ！ヒーターがあったかさをキープします。(最高温度43度)
●バブル機能で細かなバブルが足裏を刺激し気持ち良い足湯になります。
●収納時の厚さは8cmで、簡単にたためて場所取らず、なのにしっかり足湯できるたっぷり5Lの大容量です。
●1ボタンでスタート＆ストップの簡単操作です。
●一定水位がないと可動しない誤作動防止＆使用中の折りたたみを防ぐサポーター付きの安全機能付きです。","折りたたみリラックスフットバス",,,"4949176160858",,"MRO"
"6300021220","6300021220","S115841770","DLPW21182","ヒロ・コーポレーション","●ワンプッシュでシューっとナノミストが遠くまで届きます。
●300mlのアルコールや液体などが入れられる、ちょうど良いサイズのスプレーボトルです。
●除菌・掃除・美容など様々な用途でお使いいただけます。
●ストッパー付きなので液漏れ等も安心です。
●通常の水分子よりもさらに細かいナノミスト噴射です。
●アルコールや次亜塩素酸水を入れて除菌に、精製水等を入れて美容にお使いいただけます。
●学校・オフィス・店舗・ご家庭でお使いいただけます。","ハンドナノミストスプレー　ＤＬＰＷ２１１８２",,,"4562350982048",,"MRO"
"6300021027","6300021027","S115841770","SG10XC","SGバイオメディカル","●オゾンの力で生活環境を守る！ポータブル低濃度オゾン発生器です。●家の中、通勤時、オフィス、会議室、お店、車の中、外出先など人の出入りが気になる場所に置けます。
●オゾンの原料は空気のため面倒なフィルター交換は不要で、メンテナンスフリーです。●376gで持ち運び楽々、コンパクトサイズで場所を取らず外出先でも使用していただけます。●オゾン濃度を平均0.04ppmにキープ、オゾンの濃度に自動に調節し管理しています。

低濃度オゾンで人に優しい、エアガーディアンです。","低濃度オゾン発生器　エアガーディアン　ＳＧ１０ＸＣ（ＴｙｐｅＣ）　黒",,,"4580726530136",,"MRO"
"6300021028","6300021028","S115841770","SG10XB","SGバイオメディカル","●オゾンの力で生活環境を守る！ポータブル低濃度オゾン発生器です。●家の中、通勤時、オフィス、会議室、お店、車の中、外出先など人の出入りが気になる場所に置けます。
●オゾンの原料は空気のため面倒なフィルター交換は不要で、メンテナンスフリーです。●376gで持ち運び楽々、コンパクトサイズで場所を取らず外出先でも使用していただけます。●オゾン濃度を平均0.04ppmにキープ、オゾンの濃度に自動に調節し管理しています。

低濃度オゾンで人に優しい、エアガーディアンです。","低濃度オゾン発生器　エアガーディアン　ＳＧ１０ＸＢ（ＵＳＢ）　黒",,,"4580726530143",,"MRO"
"6300021029","6300021029","S115841770","SG6B","SGバイオメディカル","●オゾンの力で生活環境を守る！ポータブル低濃度オゾン発生器です。●家の中、通勤時、オフィス、会議室、お店、車の中、外出先など人の出入りが気になる場所に置けます。
●オゾンの原料は空気のため面倒なフィルター交換は不要で、メンテナンスフリーです。●330gで持ち運び楽々、コンパクトサイズで場所を取らず外出先でも使用していただけます。●オゾン濃度を平均0.04ppmにキープ、オゾンの濃度に自動に調節し管理しています。

低濃度オゾンで人に優しい、エアガーディアンです。","低濃度オゾン発生器　エアガーディアン　内蔵バッテリーなし　ＳＧ６Ｂ（ＵＳＢ）　ネイビー",,,"4580726530150",,"MRO"
"6300021050","6300021050","S115841770","6300021050","HOTPLUS","●ホットプラス「マルチウォームバッグ」は非常食、レトルト食品などの温めや カップ麺などの調理ができる、熱いお湯が沸かせるマルチバッグです。●ガス・電気不要です。●水を入れるだけで、どこでもアツアツの食事ができます。●食材や1.8Lまでの水を温められます。●一般社団法人防災安全協会の「防災製品等推奨品」に認定されています。●消防や医療、防災などの有識者や危機管理のプロフェッショナルから、災害時におけるホットプラスの必要性、安全性、優れた性能が高く評価されています。                                                                                                                                                                                                                                                                ","ホットプラス　マルチウォームバッグ発熱剤３個セット",,,"4589714650207",,"MRO"
"6300021051","6300021051","S115841770","6300021051","HOTPLUS","●ホットプラス専用発熱剤です。●備蓄などの長期保存にも安心の” 真空包装” を採用しております。
●5 年間の長期保存が可能です。","ホットプラス用　専用発熱剤　６０ｇ　",,,"4589714650191",,"MRO"
"6300021052","6300021052","S115841770","6300021052","HOTPLUS","●ホットプラス専用マルチウォームバッグとハンドルのセットです。●ホットプラスはハンドルで密開封するため、開封時のやけどの恐れが非常に低く、発熱層の蒸気も直接手に触れずとっても安心です。","ホットプラス用　マルチウォームバッグ＆ハンドル",,,"4589714650184",,"MRO"
"6300021198","6300021198","S115841770","6300021198","DRYTECH","●カビ・悪臭サヨナラ！ワイヤレスで繰返し使えるパワフルなミニ除湿消臭器です。●360度全面によるパワフル除湿消臭、水が出ず、縦に・横に・コンパクトに、どこでも置けて重宝です。
●乾湿状態を一目でお知らせいたします。●飽和状態でも電源に繋げば簡単に吸湿力復活！何度も使えて便利です。
●食品にも心配ない無害な素材を使用し買替いらずでゴミも出ず、お財布と地球にやさしくエコ商品です。","ワイヤレス　ミニ除湿消臭器　シルビア４０５",,,"4595122659015",,"MRO"
"6300021199","6300021199","S115841770","AP300","NIKKO","●ヘルメット装着して作業をされる方、暑さ対策を強いられる現場には必須商品です。●マジックテープで簡単！ヘルメットにワンタッチで取り付けできる汗取りパッドです。●中空の高吸収繊維により汗をすばやく吸収し、常にサラッとしたつけ心地です。
●洗って繰り返し使え、洗濯後も吸水力はほとんど変わらず経済的です。","ヘルメット用汗取りパッド　マジックテープ式",,,"4580646301816",,"MRO"
"6300021200","6300021200","S115841770","HK-5061-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。●洗濯して繰り返し使えるので経済的です。","綿ヤッケ　薄手　上下セット　ネイビー　ＨＫ－５０６１　Ｆ寸",,,"4520367301177",,"MRO"
"6300021201","6300021201","S115841770","HK-5061-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。●洗濯して繰り返し使えるので経済的です。","綿ヤッケ　薄手　上下セット　ネイビー　ＨＫ－５０６１　Ｏ寸",,,"4520367301184",,"MRO"
"6300021202","6300021202","S115841770","HK-506-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　綿１００％　ファスナー付ポケット　上下セット　ＨＫ－５０６　Ｆ寸",,,"4520367301078",,"MRO"
"6300021203","6300021203","S115841770","HK-506-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　綿１００％　ファスナー付ポケット　上下セット　ＨＫ－５０６　Ｏ寸",,,"4520367301085",,"MRO"
"6300021204","6300021204","S115841770","HK-502-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　薄綿　上下セット　ＨＫ－５０２　Ｆ寸",,,"4520367300071",,"MRO"
"6300021205","6300021205","S115841770","HK-502-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　薄綿　上下セット　ＨＫ－５０２　Ｏ寸",,,"4520367300088",,"MRO"
"6300021206","6300021206","S115841770","HDL-PLS001","ヒロ・コーポレーション","●水回りをピッカピカに、電動パワーで威力を発揮します。
●生活防水IPX5、アタッチメントが3種類付、場所や用途にあわせて使い分けできます。
●収納に便利な壁掛けフック付きです。
電池式コードレスなのでお手軽♪とても軽くて掃除がしやすい","電動ハンディポリッシャー　ＨＤＬ－ＰＬＳ００１",,,"4562350984769",,"MRO"
"6300021207","6300021207","S115841770","PR-104","ヒロ・コーポレーション","●充電式でコードレスなのでどこでも使えて便利です。
●ウォッシャブル仕様で水で洗えて使った後のお手入れも楽々です。
●セラミックコート刃使用できれいな仕上がりになります。
●10段階刈り高調整2アタッチメント付です。","ウォッシャブル充電式バリカン　ＰＲ－１０４",,,"4562351024846",,"MRO"
"6300021208","6300021208","S115841770","RS-E1628","レッドスパイス","●手をかざすだけで自然に開く、便利なセンサー式ゴミ箱！自動で閉まる便利な機能付きです。
●縦横17cm、高さ13.5cmのコンパクトサイズなのに、しっかり入る4Lサイズです。
●車内に、ベッドに、キッチンに、デスクに、様々な場所でお使いいただけます。
●ゴミ箱として使わずに小物入れとして使うことも、調味料や化粧品を入れれば、汚れた手で蓋に触れる必要なく取り出すことができます。
さらに、料理中にゴミ箱の口を開けっぱなしにしておきたいときはボタンを押すだけで開き状態を保つことも可能です。","センサー式ごみ箱４Ｌ　ＲＳ－Ｅ１６２８",,,"4582548298287",,"MRO"
"6300021209","6300021209","S115841770","HAC2892","HAC","●網を置いてBBQコンロにしたり、網を外して焚き火台にしたり、様々なアウトドアシーンに便利な焚き火グリルです。●クロス型をした焼き網の設置方法で、コンロの隅から炭の調整がしやすくなっております。●持ち運びに便利な収納バッグ付属で持ち運びも楽々です。","アウトドア焚き火グリル",,,"4573110525870",,"MRO"
